 lga_code18, regional_mig_internal_mig_departures_num, regional_mig_ovs_mig_arrivals_num, est_res_pop_ur_erp_30_jun_p_tot_num, regional_mig_ovs_mig_net_mig_num, lga_name18, regional_mig_internal_mig_net_mig_num, regional_mig_ovs_mig_departures_num, ogc_fid, pop_density_pop_density_p_p_km2, regional_mig_internal_mig_arrivals_num
24600,16649,24295,169961,8873,Melbourne (C),1047,15422,78,4550.3,17696
26610,1434,238,20759,149,Swan Hill (RC),-364,89,134,3.4,1070
23810,4134,381,75211,240,Latrobe (C) (Vic.),-172,141,155,52.8,3962
23430,11688,3522,163431,2129,Kingston (C) (Vic.),-430,1393,162,1788.7,11258
24850,3356,374,44299,234,Mitchell (S),799,140,169,15.5,4155
24780,3041,737,55515,462,Mildura (RC),-319,275,190,2.5,2722
21270,393,27,6184,17,Buloke (S),-16,10,232,0.8,377
20740,2309,192,35327,121,Bass Coast (S),871,71,309,40.8,3180
25620,965,83,14478,52,Murrindindi (S),193,31,358,3.7,1158
25990,610,16,7353,9,Pyrenees (S),-22,7,456,2.1,588
25900,11615,5283,113200,2178,Port Phillip (C),-466,3105,442,5466.2,11149
26080,269,22,2982,14,Queenscliffe (B),27,8,610,346.1,296
27260,14685,7613,255322,4717,Wyndham (C),5472,2896,638,471,20157
24250,558,100,8979,62,Mansfield (S),121,38,645,2.3,679
25150,2228,130,34158,81,Moorabool (S),419,49,673,16.2,2647
21750,1155,131,21503,83,Colac-Otway (S),-93,48,750,6.3,1062
26260,983,90,16135,56,Southern Grampians (S),-79,34,890,2.4,904
23190,1189,91,19875,57,Horsham (RC),-135,34,897,4.7,1054
21180,14709,5078,208714,3189,Brimbank (C),-3232,1889,904,1691.4,11477
22620,5224,807,116045,501,Greater Bendigo (C),980,306,848,38.7,6204
23110,7262,1885,96470,1114,Hobsons Bay (C),-422,771,813,1501.7,6840
20830,3127,213,52015,132,Baw Baw (S),1015,81,946,12.9,4142
25250,14891,6388,181725,3542,Moreland (C),-194,2846,974,3566.6,14697
26810,3000,295,44019,186,Wellington (S),-25,109,1044,4.1,2975
22410,1205,55,19665,34,Glenelg (S),-39,21,1072,3.2,1166
22310,11907,5649,153858,2775,Glen Eira (C),-1097,2874,1030,3976.6,10810
26490,2112,275,32251,171,Surf Coast (S),527,104,1065,20.8,2639
25060,9049,2981,127883,1750,Moonee Valley (C),52,1231,1156,2964.5,9101
21670,794,30,13209,18,Central Goldfields (S),94,12,1221,8.6,888
21610,19431,6150,340419,3865,Casey (C),5953,2285,1275,831.4,25384
27450,9553,1021,158173,642,Yarra Ranges (S),-342,379,1282,64.1,9211
25490,1225,114,16887,72,Moyne (S),-43,42,1205,3.1,1182
23670,11471,2258,163203,1414,Knox (C),-808,844,1450,1432.7,10663
26430,708,60,10645,38,Strathbogie (S),161,22,1436,3.2,869
27070,11585,4900,223322,3076,Whittlesea (C),2060,1824,1569,456,13645
23940,510,22,7513,14,Loddon (S),8,8,1527,1.1,518
25710,4129,496,64941,311,Nillumbik (S),-369,185,1618,150.2,3760
21010,961,43,14024,26,Benalla (RC),47,17,1660,6,1008
22490,1645,48,23120,30,Golden Plains (S),349,18,1667,8.6,1994
26350,11179,5557,116207,2124,Stonnington (C),-152,3433,1709,4530.2,11027
