earners_persons_2013_14, median_age_of_earners_years_2014_15, median_aud_2013_14, mean_aud_2013_14, income_aud_2014_15, median_aud_2014_15, income_aud_2013_14, median_age_of_earners_years_2013_14, earners_persons_2014_15, lga_code_2016, lga_name16, mean_aud_2014_15
6880,50,34681,42147,307499020,36195,289969509,50,7028,"20110","Alpine (S)",43753
5975,47,38131,45003,274100507,39388,268894841,47,6020,"20260","Ararat (RC)",45532
51629,43,42779,51368,2785159856,43852,2652089284,42,52840,"20570","Ballarat (C)",52709
69751,44,48836,61870,4570137363,50400,4315499377,43,71103,"20660","Banyule (C)",64275
15849,48,34051,42224,721895747,35605,669202402,48,16384,"20740","Bass Coast (S)",44061
25139,46,40483,49344,1312303081,41353,1240454992,46,25859,"20830","Baw Baw (S)",50748
59596,48,55569,95108,5980197364,57355,5668070814,48,61564,"20910","Bayside (C)",97138
7391,50,37229,43466,330973836,37449,321254105,50,7491,"21010","Benalla (RC)",44183
104451,45,55069,92562,10033660207,56451,9668224390,45,107148,"21110","Boroondara (C)",93643
93047,39,41599,46786,4581503360,42123,4353341206,39,96330,"21180","Brimbank (C)",47561
3544,51,34643,42303,124318092,29397,149922552,50,3535,"21270","Buloke (S)",35168
20181,46,38676,44869,961892932,40094,905509502,46,20647,"21370","Campaspe (S)",46588
46356,41,44716,51782,2618108765,46041,2400410402,41,49198,"21450","Cardinia (S)",53216
146508,40,44833,50822,7932249859,45726,7445882083,40,153331,"21610","Casey (C)",51733
5600,48,35181,38994,223926925,35590,218368204,48,5653,"21670","Central Goldfields (S)",39612
12057,46,37530,43679,547039181,38634,526635093,46,12222,"21750","Colac-Otway (S)",44759
9204,48,38371,46198,438803677,39658,425209242,48,9305,"21830","Corangamite (S)",47158
75882,39,45812,56064,4548668249,47153,4254224883,39,78669,"21890","Darebin (C)",57820
22730,49,35309,43225,1023617845,36706,982515164,49,23006,"22110","East Gippsland (S)",44494
71210,42,44371,50591,3817923495,45704,3602577325,42,73181,"22170","Frankston (C)",52171
5625,49,36351,41327,240210857,36970,232466151,49,5740,"22250","Gannawarra (S)",41849
33861,43,39787,46309,1657981821,41062,1568063540,44,34765,"22830","Greater Shepparton (C)",47691
7908,49,35858,45117,373727869,37062,356783980,49,8094,"22910","Hepburn (S)",46173
