p_post_scl_qualf_grad_dip_grad_certificate_pr100, p_post_scl_qualf_inadequately_described_ns_pr100, p_post_scl_qualf_adv_dip_dip_pr100, yr, p_post_scl_qualf_postgrad_degree_pr100, lga_code18, p_post_scl_qualf_bachelor_degree_pr100, p_post_scl_qualf_certificate_pr100, p_post_scl_qualf_p_post_scl_qualification_pr100, lga_name18
2.6,13.8,7.2,"2016",12.3,"24600",30.0,5.4,71.2,"Melbourne (C)"
1.6,12.6,8.7,"2016",1.6,"24850",7.5,24.6,56.6,"Mitchell (S)"
1.2,17.4,6.6,"2016",0.8,"26610",7.0,19.2,52.2,"Swan Hill (RC)"
1.5,12.9,7.4,"2016",1.5,"23810",7.8,25.1,56.2,"Latrobe (C) (Vic.)"
2.6,8.9,10.6,"2016",5.2,"23430",17.4,16.7,61.4,"Kingston (C) (Vic.)"
1.4,13.7,7.1,"2016",1.1,"24780",7.8,20.8,52.0,"Mildura (RC)"
2.1,12.9,9.0,"2016",1.9,"20740",9.2,23.0,58.3,"Bass Coast (S)"
1.6,14.9,6.2,"2016",0.8,"21270",7.4,19.8,50.8,"Buloke (S)"
2.0,13.5,9.5,"2016",1.9,"25620",9.1,24.3,60.2,"Murrindindi (S)"
1.5,8.4,9.5,"2016",3.9,"27070",12.6,18.1,54.0,"Whittlesea (C)"
1.4,18.8,7.8,"2016",1.2,"25990",6.9,20.0,56.3,"Pyrenees (S)"
3.9,12.9,9.5,"2016",11.0,"25900",28.7,10.1,76.1,"Port Phillip (C)"
4.2,13.0,13.2,"2016",6.5,"26080",20.7,12.1,69.7,"Queenscliffe (B)"
1.7,9.1,10.0,"2016",7.2,"27260",15.5,17.1,60.8,"Wyndham (C)"
2.2,12.6,9.2,"2016",2.1,"24250",10.6,25.2,62.0,"Mansfield (S)"
1.5,12.1,8.1,"2016",1.6,"21750",8.5,22.5,54.3,"Colac-Otway (S)"
2.1,10.2,9.1,"2016",2.4,"25150",9.6,23.5,57.0,"Moorabool (S)"
2.5,11.2,8.2,"2016",2.4,"22620",11.4,22.4,58.1,"Greater Bendigo (C)"
1.8,11.3,8.2,"2016",1.8,"26260",9.8,22.4,55.3,"Southern Grampians (S)"
1.9,10.3,8.7,"2016",1.8,"23190",9.3,22.4,54.5,"Horsham (RC)"
1.1,10.1,8.0,"2016",2.8,"21180",12.1,15.0,49.0,"Brimbank (C)"
2.2,10.9,8.9,"2016",2.1,"20830",9.6,24.5,58.3,"Baw Baw (S)"
2.8,9.1,9.0,"2016",5.8,"23110",17.5,15.6,59.9,"Hobsons Bay (C)"
3.5,9.2,8.4,"2016",8.6,"25250",21.6,12.0,63.1,"Moreland (C)"
1.0,12.9,5.9,"2016",0.9,"21670",5.5,23.1,49.4,"Central Goldfields (S)"
1.8,14.7,7.7,"2016",1.4,"26810",8.3,23.7,57.6,"Wellington (S)"
3.7,8.0,9.7,"2016",9.9,"22310",27.0,10.5,68.7,"Glen Eira (C)"
1.4,8.7,10.2,"2016",3.4,"21610",11.7,20.3,55.8,"Casey (C)"
2.4,8.5,10.6,"2016",2.8,"27450",12.0,24.1,60.3,"Yarra Ranges (S)"
3.3,9.4,11.6,"2016",4.6,"26490",19.2,19.7,67.7,"Surf Coast (S)"
1.5,13.1,7.0,"2016",1.0,"22410",6.7,23.3,52.5,"Glenelg (S)"
3.3,9.2,9.0,"2016",6.7,"25060",21.2,13.4,62.8,"Moonee Valley (C)"
1.9,13.3,9.0,"2016",1.6,"21010",8.0,22.6,56.4,"Benalla (RC)"
2.4,9.5,9.4,"2016",2.0,"22490",9.9,26.6,59.8,"Golden Plains (S)"
3.1,12.8,9.8,"2016",2.9,"23350",11.8,22.8,63.2,"Indigo (S)"
2.0,12.3,9.1,"2016",2.0,"25490",10.2,22.1,57.7,"Moyne (S)"
2.8,10.2,8.5,"2016",3.3,"20570",12.8,20.6,58.2,"Ballarat (C)"
1.8,13.8,9.1,"2016",1.6,"26430",9.0,21.3,56.5,"Strathbogie (S)"
2.2,7.4,10.3,"2016",4.5,"23670",15.7,19.4,59.5,"Knox (C)"
2.3,10.4,9.5,"2016",3.2,"22750",13.2,21.0,59.6,"Greater Geelong (C)"
2.6,13.0,9.5,"2016",2.1,"20110",10.7,22.4,60.3,"Alpine (S)"
1.8,14.5,8.4,"2016",1.4,"22110",7.9,23.4,57.4,"East Gippsland (S)"
2.3,10.7,10.6,"2016",2.7,"25340",12.1,22.0,60.5,"Mornington Peninsula (S)"
1.4,16.5,6.8,"2016",0.7,"23940",6.4,20.5,52.3,"Loddon (S)"
3.9,6.8,10.9,"2016",5.6,"25710",18.9,19.0,65.1,"Nillumbik (S)"
3.6,10.2,9.1,"2016",11.4,"26350",32.1,7.7,74.1,"Stonnington (C)"
1.9,12.4,8.3,"2016",1.7,"26170",9.0,23.5,56.9,"South Gippsland (S)"
1.4,10.5,8.1,"2016",1.1,"26890",7.9,20.3,49.3,"West Wimmera (S)"
3.9,16.9,9.0,"2016",4.7,"25430",13.8,17.8,66.1,"Mount Alexander (S)"
4.4,7.5,8.8,"2016",12.3,"21110",30.3,7.4,70.6,"Boroondara (C)"
3.0,7.7,10.8,"2016",4.7,"24410",16.5,19.1,61.8,"Maroondah (C)"
3.5,10.2,8.4,"2016",8.2,"21890",20.9,11.6,62.9,"Darebin (C)"
1.3,12.7,7.2,"2016",1.1,"25810",7.4,21.3,51.0,"Northern Grampians (S)"
1.5,13.1,7.2,"2016",1.0,"21370",7.4,22.9,53.1,"Campaspe (S)"
3.3,10.0,8.9,"2016",8.0,"24330",22.7,11.0,63.9,"Maribyrnong (C)"
3.3,10.6,10.4,"2016",4.0,"24130",14.7,21.2,64.2,"Macedon Ranges (S)"
1.4,10.1,9.1,"2016",2.9,"24650",11.7,20.6,55.8,"Melton (C)"
1.0,13.1,6.2,"2016",0.6,"22250",6.2,21.4,48.6,"Gannawarra (S)"
1.9,10.5,10.2,"2016",2.2,"22170",10.5,23.6,58.8,"Frankston (C)"
3.8,7.9,9.7,"2016",7.5,"20660",20.6,15.3,64.8,"Banyule (C)"
3.9,8.5,10.7,"2016",8.9,"20910",26.3,10.3,68.6,"Bayside (C)"
